"","suc","cap"
"1",1,2.481e+09
"2",2,2.855e+09
"3",3,2.411e+09
"4",4,1.573e+09
"5",5,1.689e+09
"6",6,1.122e+09
"7",7,2.635e+09
"8",8,1.378e+09
"9",9,1.289e+09
"10",10,1.452e+09
"11",11,1.64e+09
"12",12,1.853e+09
"13",13,1.677e+09
"14",14,1.158e+09
"15",15,1.441e+09
"16",16,1.816e+09
"17",17,2.332e+09
"18",18,2.458e+09
"19",19,2.682e+09
"20",20,2.138e+09
"21",21,2.003e+09
"22",22,2.255e+09
"23",23,9.05e+08
"24",24,2.802e+09
"25",25,2.939e+09
"26",26,2.881e+09
"27",27,1.925e+09
"28",28,2.024e+09
"29",29,8.65e+08
"30",30,2.614e+09
"31",31,2.392e+09
"32",32,1.877e+09
"33",33,2.657e+09
"34",34,2.119e+09
"35",35,2.117e+09
"36",36,9.81e+08
"37",37,2.93e+09
"38",38,2.867e+09
"39",39,2.157e+09
"40",40,2.09e+09
"41",41,1.138e+09
"42",42,1.793e+09
"43",43,1.413e+09
"44",44,1.171e+09
"45",45,2.743e+09
"46",46,2.153e+09
"47",47,8.98e+08
"48",48,1.475e+09
"49",49,1.713e+09
"50",50,1.739e+09
"51",51,1.051e+09
"52",52,9.05e+08
"53",53,8.28e+08
"54",54,8.36e+08
"55",55,2.535e+09
"56",56,1.37e+09
"57",57,1.992e+09
"58",58,1.27e+09
"59",59,2.452e+09
"60",60,2.801e+09
"61",61,2.619e+09
"62",62,1.993e+09
"63",63,1.082e+09
"64",64,1.294e+09
"65",65,2.594e+09
"66",66,2.067e+09
"67",67,2.04e+09
"68",68,1.237e+09
"69",69,2.93e+09
"70",70,1.956e+09
"71",71,2.146e+09
"72",72,1.646e+09
"73",73,1.305e+09
"74",74,9.28e+08
"75",75,2.408e+09
"76",76,1.637e+09
"77",77,1.378e+09
"78",78,2.258e+09
"79",79,2.272e+09
"80",80,2.193e+09
"81",81,2.619e+09
"82",82,2.857e+09
"83",83,2.313e+09
"84",84,2.385e+09
"85",85,2.116e+09
"86",86,1.451e+09
"87",87,1.267e+09
"88",88,2.231e+09
"89",89,1.588e+09
"90",90,2.55e+09
"91",91,2.6e+09
"92",92,2.749e+09
"93",93,1.642e+09
"94",94,2.941e+09
"95",95,1.076e+09
"96",96,2.976e+09
"97",97,1.567e+09
"98",98,1.217e+09
"99",99,1.475e+09
"100",100,2.277e+09
"101",101,9.07e+08
"102",102,1.69e+09
"103",103,1.009e+09
"104",104,1.161e+09
"105",105,2.135e+09
"106",106,1.221e+09
"107",107,2.703e+09
"108",108,2.916e+09
"109",109,2.38e+09
"110",110,2.355e+09
"111",111,9.61e+08
"112",112,1.701e+09
"113",113,1.534e+09
"114",114,2.729e+09
"115",115,9.01e+08
"116",116,1.863e+09
"117",117,1.255e+09
"118",118,1.987e+09
"119",119,1.266e+09
"120",120,2.321e+09
"121",121,9.91e+08
"122",122,1.918e+09
"123",123,1.372e+09
"124",124,1.815e+09
"125",125,2.474e+09
"126",126,8.47e+08
"127",127,2.545e+09
"128",128,8.47e+08
"129",129,2.642e+09
"130",130,9.05e+08
"131",131,2.484e+09
"132",132,1.018e+09
"133",133,1.699e+09
"134",134,1.614e+09
"135",135,2.012e+09
"136",136,2.393e+09
"137",137,2.331e+09
"138",138,9.19e+08
"139",139,2.544e+09
"140",140,1.034e+09
"141",141,1.78e+09
"142",142,2.867e+09
"143",143,2.921e+09
"144",144,2.319e+09
"145",145,9.86e+08
"146",146,2.052e+09
"147",147,2.901e+09
"148",148,1.724e+09
"149",149,2.231e+09
"150",150,9.04e+08
"151",151,2.908e+09
"152",152,1.725e+09
"153",153,1.329e+09
"154",154,2.601e+09
"155",155,1.493e+09
"156",156,2.4e+09
"157",157,1.538e+09
"158",158,1.635e+09
"159",159,1.671e+09
"160",160,2.057e+09
"161",161,2.561e+09
"162",162,2.25e+09
"163",163,9.23e+08
"164",164,1.603e+09
"165",165,1.258e+09
"166",166,1.696e+09
"167",167,9.77e+08
"168",168,1.788e+09
"169",169,2.722e+09
"170",170,1.702e+09
"171",171,1.826e+09
"172",172,2.979e+09
"173",173,1.877e+09
"174",174,2.161e+09
"175",175,1.401e+09
"176",176,1.591e+09
"177",177,1.164e+09
"178",178,1.281e+09
"179",179,1.003e+09
"180",180,1.478e+09
"181",181,2.744e+09
"182",182,2.66e+09
"183",183,2.729e+09
"184",184,1.28e+09
"185",185,1.241e+09
"186",186,8.63e+08
"187",187,1.285e+09
"188",188,1.389e+09
"189",189,2.107e+09
"190",190,1.379e+09
"191",191,1.836e+09
"192",192,2.226e+09
"193",193,1.318e+09
"194",194,2.465e+09
"195",195,1.976e+09
"196",196,1.822e+09
"197",197,2.738e+09
"198",198,1.351e+09
"199",199,2.18e+09
"200",200,2.289e+09
"201",201,9.61e+08
"202",202,9.91e+08
"203",203,2.296e+09
"204",204,1.774e+09
"205",205,9.16e+08
"206",206,1.166e+09
"207",207,1.464e+09
"208",208,2.249e+09
"209",209,1.405e+09
"210",210,2.111e+09
"211",211,2.15e+09
"212",212,1.974e+09
"213",213,2.066e+09
"214",214,2.648e+09
"215",215,8.93e+08
"216",216,2.712e+09
"217",217,1.56e+09
"218",218,9.45e+08
"219",219,2.845e+09
"220",220,1.553e+09
"221",221,2.941e+09
"222",222,2.834e+09
"223",223,1.868e+09
"224",224,2.345e+09
"225",225,9.34e+08
"226",226,2.257e+09
"227",227,1.087e+09
"228",228,8.12e+08
"229",229,1.012e+09
"230",230,2.01e+09
"231",231,1.902e+09
"232",232,1.944e+09
"233",233,2.083e+09
"234",234,1.625e+09
"235",235,2.767e+09
"236",236,2.321e+09
"237",237,2.75e+09
"238",238,2.273e+09
"239",239,1.239e+09
"240",240,8.56e+08
"241",241,2.392e+09
"242",242,2.161e+09
"243",243,8.92e+08
"244",244,1.635e+09
"245",245,1.132e+09
"246",246,2.079e+09
"247",247,2.75e+09
"248",248,1.832e+09
"249",249,2.247e+09
"250",250,1.758e+09
"251",251,1.584e+09
"252",252,2.969e+09
"253",253,2.88e+09
"254",254,1.43e+09
"255",255,1.378e+09
"256",256,2.861e+09
"257",257,2.879e+09
"258",258,2.524e+09
