"suc","fechas","flujo_efe"
1,2021-01-01,13300589.6052208
1,2021-01-02,13172194.8919485
1,2021-01-03,13265383.6067137
1,2021-01-04,13120237.4420907
1,2021-01-05,12435603.1254466
1,2021-01-06,12797115.1028497
1,2021-01-07,13274949.723207
1,2021-01-08,13696184.2727472
1,2021-01-09,13489995.8488976
1,2021-01-10,13797017.9358357
1,2021-01-11,13776176.9087102
1,2021-01-12,12768324.6792395
1,2021-01-13,13290703.5874893
1,2021-01-14,13174230.5163144
1,2021-01-15,12823507.9926188
1,2021-01-16,12383843.9206421
1,2021-01-17,13334160.0434071
1,2021-01-18,12893514.7359847
1,2021-01-19,13273766.5797362
1,2021-01-20,13562673.6161169
1,2021-01-21,12016799.9701768
1,2021-01-22,12050648.846577
1,2021-01-23,11778730.7174453
1,2021-01-24,12382452.7704535
1,2021-01-25,13683414.608402
1,2021-01-26,12879836.0029347
1,2021-01-27,12785810.0148438
1,2021-01-28,12574733.5119231
1,2021-01-29,14028044.9968643
1,2021-01-30,14002712.0144082
1,2021-01-31,13284098.8173323
1,2021-02-01,12694016.904486
1,2021-02-02,13286164.0522488
1,2021-02-03,11997608.8499015
1,2021-02-04,13325027.5725938
1,2021-02-05,13090495.1933558
1,2021-02-06,13271418.8587606
1,2021-02-07,11925831.0274512
1,2021-02-08,13657044.1500569
1,2021-02-09,14415485.3988409
1,2021-02-10,13931385.401481
1,2021-02-11,13884574.8944999
1,2021-02-12,13445527.6582625
1,2021-02-13,13165737.7931345
1,2021-02-14,13010184.945827
1,2021-02-15,13332225.8513313
1,2021-02-16,13140303.7507069
1,2021-02-17,12604201.2460804
1,2021-02-18,11849028.1058084
1,2021-02-19,11827724.5026413
1,2021-02-20,12522619.8899333
1,2021-02-21,11916464.8358263
1,2021-02-22,12799474.3840345
1,2021-02-23,13183616.9639374
1,2021-02-24,13438472.4990642
1,2021-02-25,14935565.0591663
1,2021-02-26,13525272.5429917
1,2021-02-27,13752813.1304686
1,2021-02-28,13902883.3729095
1,2021-03-01,13935250.5251956
1,2021-03-02,13330925.6936033
1,2021-03-03,13198960.2035787
1,2021-03-04,13042985.309393
1,2021-03-05,13545639.2058081
1,2021-03-06,13034353.1987853
1,2021-03-07,13432025.1279596
1,2021-03-08,14590009.9380506
1,2021-03-09,13556060.5901714
1,2021-03-10,13205530.4738652
1,2021-03-11,13039484.8833639
1,2021-03-12,13685869.5136792
1,2021-03-13,13522798.8901809
1,2021-03-14,12831922.3576152
1,2021-03-15,12292917.4451049
1,2021-03-16,13183818.2496496
1,2021-03-17,13340614.0678825
1,2021-03-18,13094804.4253497
1,2021-03-19,13937068.6513953
1,2021-03-20,13130039.5507513
1,2021-03-21,13896052.7611906
1,2021-03-22,13108913.0181892
1,2021-03-23,12175336.1620393
1,2021-03-24,12384658.57323
1,2021-03-25,12533427.8150837
1,2021-03-26,13158352.742827
1,2021-03-27,12918568.4283388
1,2021-03-28,13894349.9365285
1,2021-03-29,12393380.69249
1,2021-03-30,13609407.598415
1,2021-03-31,13758263.8312173
1,2021-04-01,13594505.0219245
1,2021-04-02,13489876.6289911
1,2021-04-03,13086742.6890182
1,2021-04-04,12723383.3672253
1,2021-04-05,13459822.8087272
1,2021-04-06,12550796.9953223
1,2021-04-07,13200049.4951745
1,2021-04-08,13090577.8324013
1,2021-04-09,13378673.1090765
1,2021-04-10,13507094.7769871
1,2021-04-11,13417760.3643668
1,2021-04-12,13039095.6035798
1,2021-04-13,13205021.0051423
1,2021-04-14,13904882.6085143
1,2021-04-15,13772782.5553973
1,2021-04-16,13383352.6276554
1,2021-04-17,12868145.9961414
1,2021-04-18,13818919.6401549
1,2021-04-19,13803588.3175023
1,2021-04-20,13704213.7628011
1,2021-04-21,14096675.8744567
1,2021-04-22,14604342.096943
1,2021-04-23,13556122.2501797
1,2021-04-24,13417719.4295748
1,2021-04-25,12830954.4516639
1,2021-04-26,12410580.7212346
1,2021-04-27,12585888.8507698
1,2021-04-28,13396258.8074386
1,2021-04-29,12847107.7974832
1,2021-04-30,12286345.1488043
1,2021-05-01,12000041.9636601
1,2021-05-02,12617689.149006
1,2021-05-03,13002191.589908
1,2021-05-04,14113418.2487013
1,2021-05-05,13411450.7676597
1,2021-05-06,12481108.2602784
1,2021-05-07,13170243.4289761
1,2021-05-08,13507874.2657441
1,2021-05-09,12902040.9790354
1,2021-05-10,13866731.7416695
1,2021-05-11,13660895.5938341
1,2021-05-12,13210699.737889
1,2021-05-13,13932532.6318921
1,2021-05-14,13689659.449779
1,2021-05-15,13532708.5047343
1,2021-05-16,13292344.6659435
1,2021-05-17,13059854.311423
1,2021-05-18,13764818.8687246
1,2021-05-19,13650521.0288332
1,2021-05-20,14025834.8604819
1,2021-05-21,13463446.4494886
1,2021-05-22,13876579.4625518
1,2021-05-23,13676299.7660184
1,2021-05-24,13474367.1149284
1,2021-05-25,12418607.8457268
1,2021-05-26,12898706.6617048
1,2021-05-27,13379832.1582356
1,2021-05-28,13346802.1105583
1,2021-05-29,13012819.4555749
1,2021-05-30,13369758.8814728
1,2021-05-31,13179833.2464299
1,2021-06-01,13011136.2786432
1,2021-06-02,13644185.5993736
1,2021-06-03,12351303.2337064
1,2021-06-04,13487222.2804731
1,2021-06-05,13371125.5998915
1,2021-06-06,13045789.7626867
1,2021-06-07,12513920.0354747
