"","x"
"1",0.837347237169491
"2",55.5843489059327
"3",-25.7126850936684
"4",12.5129765427951
"5",-7.15487347379473
"6",32.004079664526
"7",-10.9083605906081
"8",-18.1821475384963
"9",-14.4691985917456
"10",-21.4228261835309
"11",39.402481808242
"12",47.6719920619882
"13",-18.673143721684
"14",113.801348857668
"15",56.6639638328737
"16",112.890350716917
"17",66.2854689275766
"18",-25.7566790891073
"19",-24.932618058479
"20",-4.72101149562521
"21",39.6001688270297
"22",-5.47396355623233
"23",-19.7260807562639
"24",49.2987308033179
"25",29.4691987066651
"26",14.5197775664891
"27",65.7987589213436
"28",65.0079712757792
"29",96.7251687791909
"30",23.1118355934004
"31",54.2200186095197
"32",56.5235788200608
"33",42.2261838344223
"34",-0.639765233278908
"35",88.801722322313
"36",158.074943313242
"37",85.7757903790881
"38",104.384261932032
"39",28.6612812276191
"40",110.143514865763
"41",62.1879637126112
"42",4.19950750606789
"43",92.7724830868001
"44",114.183458945645
"45",43.8010761606019
"46",216.089540245252
"47",156.553994059977
"48",39.3440572146619
"49",95.5579355236021
"50",72.8509424326015
"51",173.541776120935
"52",252.862098470065
"53",163.897383168578
"54",124.396650465237
"55",153.778518464522
"56",180.761720973508
"57",272.563429258823
"58",99.9609062026129
"59",149.676227621889
"60",123.32589469421
"61",197.907777849439
"62",114.383848276234
"63",191.240872275984
"64",179.870040744695
"65",237.848185615106
"66",262.240110217374
"67",206.620116853217
"68",176.979668680464
"69",262.606124810577
"70",153.229249092542
"71",252.86333479598
"72",256.042755652979
"73",165.054554933563
"74",182.331039424409
"75",242.518107212445
"76",194.912504064334
"77",346.617485895596
"78",269.894879227284
"79",337.005554861982
"80",296.434629891636
"81",305.817330488846
"82",296.72476432669
"83",320.156828992152
"84",402.754257144074
"85",428.221805092717
"86",406.788737690603
"87",449.759575873772
"88",423.206431862691
"89",380.539588079003
"90",427.674313257084
"91",432.101155185756
"92",445.773789160692
"93",443.883681598479
"94",449.972211541595
"95",455.455781770727
"96",447.85958663617
"97",435.116857974478
"98",416.967399536215
"99",582.484730462397
"100",524.517466108561
"101",450.037346158454
"102",495.285466821245
"103",542.390021573819
"104",557.317799140485
"105",590.61119067034
"106",611.847782121874
"107",593.684124023636
"108",624.894280436893
"109",572.507623839948
"110",679.687787905849
"111",574.228410996342
"112",564.333942604403
"113",683.234225557288
"114",573.98089514148
"115",699.559494493503
"116",699.677268379623
"117",641.517954106276
"118",664.235862980555
"119",819.673690344412
"120",729.526209989358
"121",852.841828293012
"122",753.264098672291
"123",836.267763197305
"124",738.982559803864
"125",830.544281804488
"126",823.524281061786
"127",824.116626481781
"128",839.036108055348
"129",896.072955981321
"130",913.418646867403
"131",792.4528958713
"132",873.909896434409
"133",928.746160117106
"134",941.853648649804
"135",891.184260105354
"136",918.438511361747
"137",920.391739255383
"138",1068.81447274101
"139",917.708532565174
"140",878.148618166555
"141",927.76400889953
"142",934.819639204017
"143",1085.57172703732
"144",1014.92250782786
"145",1115.29048392304
"146",1123.0779916773
"147",1071.62972104428
"148",1187.86350078186
"149",1134.61904731053
"150",1153.42918190603
"151",1162.78928934201
"152",1123.87671902862
"153",1175.98334675457
"154",1202.22901975206
"155",1222.52952066944
"156",1194.5821766213
"157",1172.87543852373
"158",1126.72685999986
"159",1179.48772060518
"160",1345.48253019861
"161",1287.17232053933
"162",1239.94586936096
"163",1372.89733507992
"164",1279.9029356459
"165",1360.00839684302
"166",1319.99623865276
"167",1375.41563104722
"168",1443.04905830894
"169",1345.09924125774
"170",1428.67327993361
"171",1496.59530879982
"172",1578.78566603649
"173",1509.10252975868
"174",1488.41754541484
"175",1581.3797177555
"176",1716.88100178394
"177",1641.3714927722
"178",1627.24440737958
"179",1658.84642836242
"180",1673.20018324146
"181",1646.40071789548
"182",1594.16456225281
"183",1602.36065812484
"184",1682.7207423796
"185",1711.63803733642
"186",1679.10264771357
"187",1789.97914057118
"188",1806.38506068425
"189",1804.30225233747
"190",1806.76463095183
"191",1902.46352086049
"192",1882.29621850018
"193",1871.3377258838
"194",1954.67311607753
"195",1973.69775658568
"196",1908.80852685138
"197",1913.97446445624
"198",1917.31526239074
"199",2052.11334651426
"200",2065.22565642305
