"","suc","fechas","flujo_efe"
"1",1,2021-01-01,13300589.6052208
"2",1,2021-01-02,13172194.8919485
"3",1,2021-01-03,13265383.6067137
"4",1,2021-01-04,13120237.4420907
"5",1,2021-01-05,12435603.1254466
"6",1,2021-01-06,12797115.1028497
"7",1,2021-01-07,13274949.723207
"8",1,2021-01-08,13696184.2727472
"9",1,2021-01-09,13489995.8488976
"10",1,2021-01-10,13797017.9358357
"11",1,2021-01-11,13776176.9087102
"12",1,2021-01-12,12768324.6792395
"13",1,2021-01-13,13290703.5874893
"14",1,2021-01-14,13174230.5163144
"15",1,2021-01-15,12823507.9926188
"16",1,2021-01-16,12383843.9206421
"17",1,2021-01-17,13334160.0434071
"18",1,2021-01-18,12893514.7359847
"19",1,2021-01-19,13273766.5797362
"20",1,2021-01-20,13562673.6161169
"21",1,2021-01-21,12016799.9701768
"22",1,2021-01-22,12050648.846577
"23",1,2021-01-23,11778730.7174453
"24",1,2021-01-24,12382452.7704535
"25",1,2021-01-25,13683414.608402
"26",1,2021-01-26,12879836.0029347
"27",1,2021-01-27,12785810.0148438
"28",1,2021-01-28,12574733.5119231
"29",1,2021-01-29,14028044.9968643
"30",1,2021-01-30,14002712.0144082
"31",1,2021-01-31,13284098.8173323
"32",1,2021-02-01,12694016.904486
"33",1,2021-02-02,13286164.0522488
"34",1,2021-02-03,11997608.8499015
"35",1,2021-02-04,13325027.5725938
"36",1,2021-02-05,13090495.1933558
"37",1,2021-02-06,13271418.8587606
"38",1,2021-02-07,11925831.0274512
"39",1,2021-02-08,13657044.1500569
"40",1,2021-02-09,14415485.3988409
"41",1,2021-02-10,13931385.401481
"42",1,2021-02-11,13884574.8944999
"43",1,2021-02-12,13445527.6582625
"44",1,2021-02-13,13165737.7931345
"45",1,2021-02-14,13010184.945827
"46",1,2021-02-15,13332225.8513313
"47",1,2021-02-16,13140303.7507069
"48",1,2021-02-17,12604201.2460804
"49",1,2021-02-18,11849028.1058084
"50",1,2021-02-19,11827724.5026413
"51",1,2021-02-20,12522619.8899333
"52",1,2021-02-21,11916464.8358263
"53",1,2021-02-22,12799474.3840345
"54",1,2021-02-23,13183616.9639374
"55",1,2021-02-24,13438472.4990642
"56",1,2021-02-25,14935565.0591663
"57",1,2021-02-26,13525272.5429917
"58",1,2021-02-27,13752813.1304686
"59",1,2021-02-28,13902883.3729095
"60",1,2021-03-01,13935250.5251956
"61",1,2021-03-02,13330925.6936033
"62",1,2021-03-03,13198960.2035787
"63",1,2021-03-04,13042985.309393
